timestamp,tx_rx,gain,frequency,modulation,snr_db,noise_floor_dbm,freq_offset_hz,doppler_hz,jitter_ns,ber,snr_bin,channelnoise_bin,freq_offset_bin,doppler_bin,jitter_bin,ber_bin,failure_level,packet_success,message,payload_len,payload_len_crc,payload_crc,raw_payload_bytes,whitened_payload_bytes,raw_packet_bytes
2026-05-07T16:16:29.331260,RX,10,915000000.0,BPSK,34.38755750656128,-55.52757768875105,0.0,0.0,3958.030609323938,0.0010295216311788646,good,high,low,negligible,low,acceptable,N/A,success,"HEARTBEAT {type : 2, autopilot : 3, base_mode : 81, custom_mode : 0, system_status : 3, mavlink_version : 3}",21,6b,01 a1,fd 09 00 00 00 ff 01 00 00 00 00 00 00 00 02 03 51 03 03 87 30,02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a,02 b8 db 00 00 03 78 3d a8 5d 70 02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a
2026-05-07T16:16:31.298904,RX,10,915000000.0,BPSK,35.516672134399414,-56.641426636701766,0.0,0.0,1588.7124629228713,0.0009761486706360012,good,high,low,negligible,low,acceptable,N/A,success,"HEARTBEAT {type : 2, autopilot : 3, base_mode : 81, custom_mode : 0, system_status : 3, mavlink_version : 3}",21,6b,01 a1,fd 09 00 00 00 ff 01 00 00 00 00 00 00 00 02 03 51 03 03 87 30,02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a,02 b8 db 00 00 03 78 3d a8 5d 70 02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a
2026-05-07T16:16:32.272716,RX,10,915000000.0,BPSK,26.003127098083496,-53.47263059736488,0.0,0.0,3044.3020826020256,0.0009280632418924295,good,high,low,negligible,low,acceptable,N/A,success,"HEARTBEAT {type : 2, autopilot : 3, base_mode : 81, custom_mode : 0, system_status : 3, mavlink_version : 3}",21,6b,01 a1,fd 09 00 00 00 ff 01 00 00 00 00 00 00 00 02 03 51 03 03 87 30,02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a,02 b8 db 00 00 03 78 3d a8 5d 70 02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a
2026-05-07T16:16:33.139632,RX,10,915000000.0,BPSK,11.37886643409729,-32.83129011427374,0.0,0.0,2971.099038657106,0.000884513326587899,marginal,high,low,negligible,low,acceptable,N/A,success,"HEARTBEAT {type : 2, autopilot : 3, base_mode : 81, custom_mode : 0, system_status : 3, mavlink_version : 3}",21,6b,01 a1,fd 09 00 00 00 ff 01 00 00 00 00 00 00 00 02 03 51 03 03 87 30,02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a,02 b8 db 00 00 03 78 3d a8 5d 70 02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a
2026-05-07T16:16:34.145831,RX,10,915000000.0,BPSK,35.289201736450195,-57.48229675159861,0.0,0.0,1421.7178599500444,0.0008448836093569723,good,high,low,negligible,low,acceptable,N/A,success,"HEARTBEAT {type : 2, autopilot : 3, base_mode : 81, custom_mode : 0, system_status : 3, mavlink_version : 3}",21,6b,01 a1,fd 09 00 00 00 ff 01 00 00 00 00 00 00 00 02 03 51 03 03 87 30,02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a,02 b8 db 00 00 03 78 3d a8 5d 70 02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a
2026-05-07T16:16:34.278096,RX,10,915000000.0,BPSK,8.42148244380951,-30.185519920895775,0.0,0.0,3378.310230065616,0.0009933103723939185,poor,high,low,negligible,low,acceptable,CRC payload mismatch failure,failure,Payload CRC Failed: got 0xeef8 expected 0x533a,21,6b,ee f8,fd b2 cb bf 30 90 5c 77 e7 15 77 eb bc 00 02 03 94 4c cf 0a aa,02 73 30 57 7c 00 2e fc 00 a6 26 62 df ab 21 20 96 c8 d7 78 00,02 b8 db 00 00 03 78 3d a8 5d 70 02 73 30 57 7c 00 2e fc 00 a6 26 62 df ab 21 20 96 c8 d7 78 00
2026-05-07T16:16:35.194541,RX,10,915000000.0,BPSK,36.791625022888184,-58.16360229169335,0.0,0.0,2124.3263954999443,0.0009514956326549528,good,high,low,negligible,low,acceptable,N/A,success,"HEARTBEAT {type : 2, autopilot : 3, base_mode : 81, custom_mode : 0, system_status : 3, mavlink_version : 3}",21,6b,01 a1,fd 09 00 00 00 ff 01 00 00 00 00 00 00 00 02 03 51 03 03 87 30,02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a,02 b8 db 00 00 03 78 3d a8 5d 70 02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a
2026-05-07T16:16:35.325654,RX,10,915000000.0,BPSK,7.5910162925720215,-29.818562146303087,0.0,0.0,1838.4728320868107,0.0010891113072000191,poor,high,low,negligible,low,acceptable,CRC payload mismatch failure,failure,Payload CRC Failed: got 0x0 expected 0x4416,21,6b,00 00,ff c1 fb d1 cc 90 5c 77 c0 01 64 57 7c 00 00 47 51 1c a3 87 70,00 00 00 39 80 00 2e fc 27 b2 35 de 1f ab 23 64 53 98 bb f5 da,02 b8 db 00 00 03 78 3d a8 5d 70 00 00 00 39 80 00 2e fc 27 b2 35 de 1f ab 23 64 53 98 bb f5 da
2026-05-07T16:16:36.582536,RX,10,915000000.0,BPSK,31.007564067840576,-52.8391110043094,0.0,0.0,2383.238272245702,0.001045867004878076,good,high,low,negligible,low,acceptable,N/A,success,"HEARTBEAT {type : 2, autopilot : 3, base_mode : 81, custom_mode : 0, system_status : 3, mavlink_version : 3}",21,6b,01 a1,fd 09 00 00 00 ff 01 00 00 00 00 00 00 00 02 03 51 03 03 87 30,02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a,02 b8 db 00 00 03 78 3d a8 5d 70 02 c8 fb e8 4c 6f 73 8b e7 b3 51 89 63 ab 21 20 53 87 1b f5 9a
2026-05-07T16:16:36.712268,RX,10,915000000.0,BPSK,6.1952972412109375,-28.464930432877328,0.0,0.0,2411.893178679216,0.0011741394321419518,poor,high,low,negligible,low,acceptable,CRC payload mismatch failure,failure,Payload CRC Failed: got 0xeef8 expected 0x533a,21,6b,ee f8,fd b2 cb bf 30 90 5c 77 e7 15 77 eb bc 00 02 03 94 4c cf 0a aa,02 73 30 57 7c 00 2e fc 00 a6 26 62 df ab 21 20 96 c8 d7 78 00,02 b8 db 00 00 03 78 3d a8 5d 70 02 73 30 57 7c 00 2e fc 00 a6 26 62 df ab 21 20 96 c8 d7 78 00
